Province,District,LocalMunicipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitType
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,ec Maluti CHC,28.78891,-30.2658,,Maluti Township,Community Health Centre
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,ec Tabankulu CHC,29.29951,-30.9633,,"Nompukane Street, Erf 86, Ntabankulu",Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Idutywa Village CHC,28.29909,-32.097,,R408 Way To Willovale,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Willowvale CHC,28.49823,-32.2654,,363 Kob Inn Road,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Xhora CHC,28.68389,-31.9678,,Elliotdale Main Street,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,ec Nqamakwe CHC,27.93613,-32.2082,,"Main Road, Nqamakwe Village",Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Middledrift CHC,26.98832,-32.8135,,Cnr Bokwe and Mhlambiso Street,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Dimbaza CHC,27.21388,-32.8352,,Dimbaza Central,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Duncan Village CHC,27.88599,-33.0078,,Plumbayo Road,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Empilweni Gompo CHC,27.84894,-33.0145,,"1 Dunoon Road, Buffalo Flats",Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Mount Coke CHC,27.44252,-32.9804,,Mt Coke Village,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Nontyatyambo CHC,27.75458,-32.9472,,"9758 Dunga Road, Mdantsane",Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Ngonyama CHC,26.93369,-31.6815,,Ngqonyama Village,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Ngcobo CHC,28.00549,-31.6785,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Zwelakhe Dalasile CHC,28.24387,-31.6481,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Nomzamo CHC,26.97074,-31.913,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Thornhill CHC,26.61368,-31.9872,,"Thornhill Village, Ntabethemba",Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Whittlesea CHC,26.82082,-32.1729,,648 Stand,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Kuyasa CHC,27.58245,-32.0071,,"High Street, Cofimvaba",Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,ec Kwazakhele CHC,25.58605,-33.8775,,Mavuso Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,ec Motherwell CHC,25.59794,-33.8118,,Tyinira Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Laetitia Bam CHC,25.39833,-33.808,,Matanzima Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Rosedale CHC,25.37618,-33.7368,,1 Acardia Street,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Central CHC (Sandford),25.60172,-33.958,,Northwod Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Gqebera CHC,25.58886,-33.9861,,Vuyo Street,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Korsten CHC,25.57074,-33.9251,,"90 Livingston Hospital, Stanford Road",Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec New Brighton CHC,25.58545,-33.9086,,Mati Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec West End CHC,25.51816,-33.8847,,Cnr Barbinia and St Bridget Street,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Baziya CHC,28.38365,-31.6151,,Baziya Mission,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mbekweni CHC,28.68647,-31.7201,,Ngqwalo Area,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mqanduli CHC,28.76501,-31.8235,,Mqanduli Main Street,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Ngangelizwe CHC,28.7999,-31.6014,,Boundary Road,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Ngcwanguba CHC,29.03239,-31.919,,Ngcanguba Location,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,ec Mhlakulo CHC,28.84407,-31.4021,,,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,ec Qumbu CHC,28.86993,-31.1672,,,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,ec Makhotyana CHC,29.02291,-31.435,,,Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,ec Port St Johns CHC,29.54569,-31.6323,,"Golf Course Road, Port St Johns",Community Health Centre
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,ec Tombo CHC,29.38288,-31.6274,,,Community Health Centre
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Graaff-Reinet Day Hospital,24.55239,-32.2728,,Bree Street,Community Health Centre
Eastern Cape,ec Sarah Baartman District Municipality,ec Kou-Kamma Local Municipality,ec Joubertina CHC,23.86474,-33.8263,,Cnr Ferreira and Williams Steward Streets,Community Health Centre
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,ec Settlers Day Hospital,26.5335,-33.3077,,1 Cobden,Community Health Centre
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,fs Zamdela CHC,27.84672,-26.8421,,,Community Health Centre
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs Lesedi CHC,27.19232,-27.6409,,8871 Mankie Street,Community Health Centre
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs PAX CHC,26.94977,-27.1989,,8 Spies Street,Community Health Centre
Free State,fs Fezile Dabi District Municipality,fs Ngwathe Local Municipality,fs Kananelo CHC,27.36813,-27.0047,,"9 Charl Cilliers Street, Vredefort",Community Health Centre
Free State,fs Fezile Dabi District Municipality,fs Ngwathe Local Municipality,fs Kganya CHC,27.58748,-27.2342,,"Factory Road, Kwakwatsi, Koppies, 9540",Community Health Centre
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Hope CHC,27.14397,-28.0817,,8 Scholtz Street,Community Health Centre
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Kopano CHC,26.728,-27.983,,,Community Health Centre
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,fs Heidedal CHC,26.24637,-29.1416,,Drbeicher Road,Community Health Centre
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,fs MUCPP CHC,26.24293,-29.1792,,Singonzo,Community Health Centre
Free State,fs Thabo Mofutsanyana District Municipality,fs Setsoto Local Municipality,fs Mamello CHC,27.42652,-28.6668,,569 Louis Trichardt Square,Community Health Centre
Free State,fs Xhariep District Municipality,fs Letsemeng Local Municipality,fs Bophelong (Petrusburg) CHC,25.41824,-29.119,,7 East Street,Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg A Health sub-District,gp OR Tambo CHC,28.01842,-25.9222,,"Stand 383, Main Road, Diepsloot Ext 2",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,gp Discoverers CHC,27.89417,-26.1658,,"35 Clarendon Drive, Discovery, Roodepoort",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,gp Chiawelo CHC,27.86479,-26.279,,"1743 Rihlamphu Street, Chiawelo",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,gp Itireleng CHC,27.87079,-26.2174,,"5/6 Elias Motsoaledi Road, Dobsonville",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,gp Lillian Ngoyi CHC,27.933,-26.2601,,"Chris Hani Road, Diepkloof, Soweto",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,gp Mofolo CHC,27.88399,-26.2476,,"1415 Roodepoort Road, Mofolo Central",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,gp Zola CHC,27.83109,-26.2442,,"780/783 Bendile Street, Zola",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,gp Alexandra CHC,28.08844,-26.1164,,"33 Arkwright Road, Wynburg",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,gp Hillbrow CHC,28.04478,-26.1932,,Smit and Klein Streets,Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg G Health sub-District,gp Lenasia South CHC,27.85029,-26.3772,,"3 Cosmos Street, Lenasia South",Community Health Centre
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg G Health sub-District,gp Stretford CHC,27.86868,-26.47,,"15573 Link Road, Orange Farm Ext 2",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 1 Health sub-District,gp Kgabo CHC,28.05896,-25.4703,,1526 Sefatsa Stand,Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 1 Health sub-District,gp Phedisong 4 CHC,27.981389,-25.5997,,"5808 Lenyai Street, Zone 14, Ga-Rankuwa, 0280",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 1 Health sub-District,gp Soshanguve CHC,28.09431,-25.4912,,"Stand 1834, Soshanguve Block BB",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 2 Health sub-District,gp Temba CHC,28.26362,-25.3774,,"19 Emkhathini Section, Cnr Andrew Mapheto and George Nyanga Streets, Temba, 2474",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 3 Health sub-District,gp Laudium CHC,28.08798,-25.784,,Cnr Bengal and 25th Avenue,Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 6 Health sub-District,gp Eersterust CHC,28.30944,-25.7069,,"Cnr PS Fourie Drive and Hans Coverdale Road, Eersterust",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 6 Health sub-District,gp Stanza Bopape CHC,28.3941,-25.7059,,"Shilovhane Street, Mamelodi East",Community Health Centre
Gauteng,gp City of Tshwane Metropolitan Municipality,gp Tshwane 7 Health sub-District,gp Dark City CHC,28.72655,-25.675,,"452 Section A, Dark City",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 1 Health sub-District,gp Phillip Moyo CHC,28.48437,-26.1195,,"6944 Ersteen Street, Mandela Section, Daveyton Ext 9, Benoni",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 2 Health sub-District,gp Kwa-Thema CHC,28.39114,-26.2956,,"7001 Moshoeshoe Street, Kwa-Thema",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 2 Health sub-District,gp Nokuthela Ngwenya CHC,28.41939,-26.3512,,"Vlakfontein Road, Dunnottar",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni North 2 Health sub-District,gp Esangweni CHC,28.2009,-26.0222,,"219 Mpilo Street, Esangweni Section, Tembisa",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni South 1 Health sub-District,gp Jabulane Dumane CHC,28.21789,-26.3673,,"257 Nguza Street, Ext 2",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni South 2 Health sub-District,gp Phola Park CHC,28.13217,-26.3713,,"10054 Mzimkulu and Letutula, Phola Park Ext 5",Community Health Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni South 2 Health sub-District,gp Ramokonopi CHC,28.1618,-26.3605,,"819 Sontonga Street, Ramokonopi West",Community Health Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Boipatong CHC,27.84787,-26.6721,,"1990 Lekoa Street, Boipatong",Community Health Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Johan Heyns CHC,27.83411,-26.703,,"Cnr Frikkie Meyer and Pasteur Boulevard, Vanderbijlpark, 1900",Community Health Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Levai Mbatha CHC,27.8441,-26.5303,,814 Hamilton Road,Community Health Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Sharpeville CHC,27.87063,-26.6869,,"9173 Zwane Street, Sharpeville",Community Health Centre
Gauteng,gp West Rand District Municipality,gp Merafong City Local Municipality,gp Khutsong CHC,27.3286,-26.3288,,"5961 Morake Street, Khutsong",Community Health Centre
Gauteng,gp West Rand District Municipality,gp Rand West City Local Municipality,gp Bekkersdal West CHC,27.6974,-26.2861,,"3545 Khomo Ea Hlaba Avenue, Bekkersdal, Westonaria, 1779",Community Health Centre
Gauteng,gp West Rand District Municipality,gp Rand West City Local Municipality,gp Mohlakeng CHC,27.69409,-26.2213,,"904 Mzolo Street, Mohlakeng",Community Health Centre
KwaZulu-Natal,kz Amajuba District Municipality,kz Dannhauser Local Municipality,kz Dannhauser CHC,30.057398,-28.0135,,,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Cato Manor CHC,30.96204,-29.8684,,25 Kaledon Road,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Hlengisizwe CHC,30.654752,-29.8228,,"Unit 6 Sibisi Road, Mpumalanga Township",Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Inanda C CHC,30.9727,-29.7116,,C 135 Umshado Road,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz KwaDabeka CHC,30.89754,-29.7773,,"4 Khululeka Drive, KwaDabeka, Pinetown, 3610",Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz KwaMashu Poly CHC,30.973758,-29.7455,,G1400 Bhejane Road,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Newtown A CHC,30.941956,-29.7119,,King Bhekuzulu,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Phoenix CHC,30.991944,-29.708,,32-36 Brookstone Place,Community Health Centre
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,kz Tongaat CHC,31.116779,-29.5687,,"7 Nxumalo Lane, Tongaat",Community Health Centre
KwaZulu-Natal,kz Harry Gwala District Municipality,kz Dr Nkosazana Dlamini Zuma Local Municipality,kz Pholela CHC,29.858085,-29.7637,,,Community Health Centre
KwaZulu-Natal,kz iLembe District Municipality,kz Mandeni Local Municipality,kz Sundumbili CHC,31.4011,-29.1337,,A682 Msomuhle Road,Community Health Centre
KwaZulu-Natal,kz iLembe District Municipality,kz Ndwedwe Local Municipality,kz Ndwedwe CHC,30.93717,-29.5105,,P 100 Caneland,Community Health Centre
KwaZulu-Natal,kz King Cetshwayo District Municipality,kz City of uMhlathuze Local Municipality,kz Nseleni CHC,32.025791,-28.6662,,"Suite 645, Ubhejane Road, Nseleni Township",Community Health Centre
KwaZulu-Natal,kz Ugu District Municipality,kz Ray Nkonyeni Local Municipality,kz Gamalakhe CHC,30.333604,-30.8106,,Rev Sithole Street,Community Health Centre
KwaZulu-Natal,kz Ugu District Municipality,kz Umzumbe Local Municipality,kz Turton CHC,30.593548,-30.5031,,,Community Health Centre
KwaZulu-Natal,kz uMgungundlovu District Municipality,kz Mpofana Local Municipality,kz Bruntville CHC,30.010967,-29.2148,,Old Main Road,Community Health Centre
KwaZulu-Natal,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,kz East/Boom CHC,30.38626,-29.5888,,"Cnr East and Boom Street, Pietermaritzburg",Community Health Centre
KwaZulu-Natal,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,kz Imbalenhle CHC,30.342274,-29.6567,,"Thwala Road, Imbali 3",Community Health Centre
KwaZulu-Natal,kz Umkhanyakude District Municipality,kz Jozini Local Municipality,kz Othobothini CHC,32.057008,-27.426,Zanele Mtshali,"Msiyane Area, Main Street",Community Health Centre
KwaZulu-Natal,kz Umzinyathi District Municipality,kz Msinga Local Municipality,kz Pomeroy CHC,30.424724,-28.5509,,,Community Health Centre
KwaZulu-Natal,kz Uthukela District Municipality,kz Alfred Duma Local Municipality,kz St Chads CHC,29.914917,-28.5745,,,Community Health Centre
KwaZulu-Natal,kz Zululand District Municipality,kz eDumbe Local Municipality,kz eDumbe CHC,30.824559,-27.41,,"Stand 463, Paulpietersburg",Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Blouberg Local Municipality,lp Blouberg CHC,29.00828,-23.1424,,,Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Blouberg Local Municipality,lp Ratshaatshaa CHC,28.82128,-22.8992,,,Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Lepelle-Nkumpi Local Municipality,lp Dr Machupe Mphahlele CHC,29.335,-24.3125,,,Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Polokwane Local Municipality,lp Donald CHC,,,,,Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Polokwane Local Municipality,lp Potgieter Street CHC,29.46375,-23.8819,,,Community Health Centre
Limpopo,lp Capricorn District Municipality,lp Polokwane Local Municipality,lp Rethabile CHC,29.46246,-23.8911,,140 Megazyne Street,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Ba-Phalaborwa Local Municipality,lp Lulekani CHC,31.07726,-23.8646,,"1453b Clinic Street, Lulekani, Lulekani-B, Phalaborwa, 1392",Community Health Centre
Limpopo,lp Mopani District Municipality,lp Ba-Phalaborwa Local Municipality,lp Phalaborwa CHC,31.13617,-23.9325,,,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Giyani Local Municipality,lp Dzumeri CHC,30.7086,-23.5763,,1122 Dzumeri Village,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Giyani Local Municipality,lp Giyani CHC,30.72328,-23.3126,,Next to Giyani Police Barracks,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Letaba Local Municipality,lp Duiwelskloof CHC,30.1412,-23.6974,,Hospital Street,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,lp Grace Mugodeni CHC,30.4365,-23.7165,,,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,lp Julesburg CHC,30.32853,-24.0695,,,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,lp Nkowankowa CHC,30.29304,-23.8867,,Bankuna,Community Health Centre
Limpopo,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,lp Shiluvana CHC,30.27355,-24.043,,,Community Health Centre
Limpopo,lp Sekhukhune District Municipality,lp Fetakgomo Tubatse Local Municipality,lp HC Boshoff CHC,30.0814,-24.5959,,,Community Health Centre
Limpopo,lp Sekhukhune District Municipality,lp Fetakgomo Tubatse Local Municipality,lp Nchabeleng CHC,29.80071,-24.44,,,Community Health Centre
Limpopo,lp Sekhukhune District Municipality,lp Fetakgomo Tubatse Local Municipality,lp Penge CHC,30.29008,-24.3833,,,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Collins Chabane Local Municipality,lp Bungeni CHC,30.19752,-23.2029,,Buneni Mabondlongo,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Collins Chabane Local Municipality,lp Mphambo CHC,30.67062,-23.084,,,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Collins Chabane Local Municipality,lp Tiyani CHC,30.29458,-23.3063,,"Tiyani Ha Magono, next tTo Post Office",Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Makhado Local Municipality,lp Makhado CHC,30.03442,-22.9008,,,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Makhado Local Municipality,lp Tshilwavhusiku CHC,29.73847,-23.0967,,,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Thulamela Local Municipality,lp Mutale CHC,30.52111,-22.7366,,,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Thulamela Local Municipality,lp Thohoyandou CHC,30.47799,-22.966,,Block 4,Community Health Centre
Limpopo,lp Vhembe District Municipality,lp Thulamela Local Municipality,lp William Eddie CHC,30.54447,-22.8716,,,Community Health Centre
Limpopo,lp Waterberg District Municipality,lp Lephalale Local Municipality,lp Marapong CHC,27.622131,-23.6565,,,Community Health Centre
Limpopo,lp Waterberg District Municipality,lp Mogalakwena Local Municipality,lp Thabaleshoba CHC,27.703955,-23.6758,,,Community Health Centre
Limpopo,lp Waterberg District Municipality,lp Mookgophong/Modimolle Local Municipality,lp Mookgophong CHC,28.70833,-24.5247,,Thabo Mbeki Street,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,mp Agincourt CHC,31.26092,-24.8199,,PO Box1310,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,mp Bhubezi CHC,31.381411,-24.8801,,,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,mp Thulamahashe CHC,31.20733,-24.7266,,,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,mp Bhuga CHC,31.150223,-25.334,,Matangaleni,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,mp Kabokweni CHC,31.1304,-25.3434,,1362 Kabokweni Main Road,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,mp Kanyamazane CHC,31.184073,-25.4656,,"Cobra Street, Kanyamazane-A, Nelspruit, 1214",Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,mp M'Africa CHC,31.0497,-25.7833,,3102 Ext 9 Shongwe Street,Community Health Centre
Mpumalanga,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,mp Matsulu CHC,31.352,-25.5173,,,Community Health Centre
